Hyundai Kona 1.6 Turbo 2019",599000000,2019,SUV,Đãquasửdụng,Trongnước,31.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Fortuner 2.4G 4x2 AT  2019,875000000,2019,SUV,Đãquasửdụng,Trongnước,40.000km,Tp.HCM,Sốtựđộng,Diesel
Kia Soul 4U 2009,325000000,2009,Hatchback,Đãquasửdụng,Nhậpkhẩu,82.000km,HàNội,Sốtựđộng,Xăng
Toyota Previa 2010",785000000,2010,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,88.000km,Tp.HCM,Sốtựđộng,Xăng
Hyundai Grand i10 Hatchback 1.2 AT 2016,242000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Xăng
Peugeot 2008 Active 2021,760000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,12.646km,HàNội,Sốtựđộng,Xăng
Kia Cerato 1.6 AT Luxury 2019,585000000,2019,Sedan,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
Volkswagen Passat 1.8 TSI Blue Motion 2017",839000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,63.000km,HàNội,Sốtựđộng,Xăng
Audi Q3 S Line 2013",720000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,
Tp.HCM,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2012",390000000,2012,SUV,Đãquasửdụng,Trongnước,80.000km,
Tp.HCM,Sốtựđộng,Xăng
Suzuki Ertiga 1.5L GLX AT 2014,270000000,2014,MPV,Đãquasửdụng,Nhậpkhẩu,180.000km,HàNội,Sốtựđộng,Xăng
Kia Forte 2010,240000000,2010,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Lexus GX 460 2009",1700000000,2009,SUV,Đãquasửdụng,Nhậpkhẩu,70.000km,
Tp.HCM,Sốtựđộng,Xăng
Mazda 3 1.5L Sedan 2018,535000000,2018,Sedan,Đãquasửdụng,Trongnước,HảiPhòng,Sốtựđộng,Xăng
Aston Martin Vantage V8 2018,12800000000,2018,Coupe,Đãquasửdụng,Nhậpkhẩu,490km,HàNội,Sốtựđộng,Xăng
Toyota Vios 1.5G AT 2017",360000000,2017,Sedan,Đãquasửdụng,Trongnước,90.000km,
HàNội,Sốtựđộng,Xăng
Mercedes-Benz C200 2012",525000000,2012,Sedan,Đãquasửdụng,Trongnước,
HàNội,Sốtựđộng,Xăng
Ford Ranger XLS 2.2 4x2 AT 2019",570000000,2019,Pick-upTruck,Đãquasửdụng,Trongnước,
NghệAn,Sốtựđộng,
Hyundai Avante 1.6AT 2015",355000000,2015,Sedan,Đãquasửdụng,Trongnước,60.000km,
HàNội,Sốtựđộng,Xăng
VinFast LUX A2.0 Cao cấp 2021",780000000,2021,Sedan,Đãquasửdụng,Trongnước,2.200km,
Tp.HCM,Sốtựđộng,Xăng
Honda HR-V G 2018",630000000,2018,SUV,Đãquasửdụng,Trongnước,45.000km,
Tp.HCM,Sốtựđộng,Xăng
Kia Carnival 2.2D Luxury 8 ghế 2021,1350000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,3.100km,Tp.HCM,Sốtựđộng,
Tiêu chuẩn 2018",435000000,2018,Van/Minivan,Đãquasửdụng,Trongnước,10.000km,
HàNội,Sốtay,Diesel
Mercedes-Benz CLA 45 4Matic 2015",1450000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,60.000km,
Tp.HCM,Sốtựđộng,Xăng
Hyundai Universe 2014",480000000,2014,Van/Minivan,Đãquasửdụng,Trongnước,50.000km,
Tp.HCM,Sốtay,Diesel
Audi A7 55 TFSI quattro 2015",1600000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,
Tp.HCM,Sốtựđộng,Xăng
Kia Picanto S 1.25 AT 2014",260000000,2014,Hatchback,Đãquasửdụng,Nhậpkhẩu,
HàNội,Sốtựđộng,Xăng
Infiniti G35 2011",500000000,2011,Sedan,Đãquasửdụng,Trongnước,56.789km,
Tp.HCM,Sốtựđộng,Xăng
Kia Carnival 2.2D Premium 7 ghế 2021",1351000000,2021,Van/Minivan,Đãquasửdụng,Trongnước,1.900km,
HàNội,Sốtựđộng,Diesel
Ford Escape 2005",148000000,2005,SUV,Đãquasửdụng,Trongnước,100.000km,
Tp.HCM,Sốtựđộng,
Daewoo Gentra SX 2009",100000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,
TiềnGiang,Sốtay,Xăng
Kia Sportage 2015,685000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,51.000km,Tp.HCM,Sốtựđộng,Xăng
Daewoo Nubira 2003",30000000,2003,Sedan,Đãquasửdụng,Trongnước,
ĐắkLắk,Sốtay,Xăng
Ford Ranger Wildtrak 2.0L 4x2 AT 2017,485000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,55.000km,BìnhDương,Sốtựđộng,Diesel
Toyota Corolla 2000",78000000,2000,Sedan,Đãquasửdụng,Trongnước,150.000km,
Tp.HCM,Sốtay,Xăng
Mercedes-Benz GLE 400 4Matic Coupe 2016,2280000000,2016,SUV,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
Toyota Vios 1.5G AT 2014,275000000,2014,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Toyota Innova 2.0G 2010",258000000,2010,MPV,Đãquasửdụng,Trongnước,163.000km,
Tp.HCM,Sốtay,Xăng
Toyota Innova 2.0V 2013",405000000,2013,MPV,Đãquasửdụng,Trongnước,70.000km,
Tp.HCM,Sốtựđộng,Xăng
Toyota Yaris 1.5G 2020",639000000,2020,Hatchback,Đãquasửdụng,Nhậpkhẩu,20.000km,
HàNội,Sốtựđộng,Xăng
Toyota Innova 2.0E 2017",495000000,2017,MPV,Đãquasửdụng,Trongnước,68.000km,
Tp.HCM,Sốtay,Xăng
Mitsubishi Jolie 2002,78000000,2002,SUV,Đãquasửdụng,Trongnước,10.000km,Tp.HCM,Sốtay,Xăng
Toyota Innova 2.0E 2011",350000000,2011,MPV,Đãquasửdụng,Trongnước,
TâyNinh,Sốtay,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2016",785000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,77.000km,
Tp.HCM,Sốtựđộng,Xăng
Hyundai Grand i10 Hatchback 1.2 AT 2015,305000000,2015,Hatchback,Đãquasửdụng,Trongnước,NinhBình,Sốtựđộng,Xăng
Mazda 3 Sport 1.5L Deluxe 2019,580000000,2019,Hatchback,Đãquasửdụng,Trongnước,15.000km,HàNội,Sốtựđộng,Xăng
Acura Legend 1996,135000000,1996,Sedan,Đãquasửdụng,Nhậpkhẩu,80.000km,BìnhDương,Sốtựđộng,Xăng
Audi A3 1.0 TFSI 2014",555000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,80.000km,
HàNội,Sốtựđộng,
Hyundai Solati 2.5 MT 2019,770000000,2019,Van/Minivan,Đãquasửdụng,Trongnước,208.000km,Tp.HCM,Sốtay,Diesel
Hyundai Palisade 2.2L-8AT 2019",2450000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,
HàNội,Sốtựđộng,Diesel
Lexus RX 350 L 2012,1220000000,2012,SUV,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Xăng
Mazda CX-5 2.0 Luxury 2020,795000000,2020,SUV,Đãquasửdụng,Trongnước,21.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Everest 2010,300000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,14.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Yaris 1.3G 2016",358000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,
HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.4G 4x2 AT  2017,766000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,82.000km,Tp.HCM,Sốtay,
Mazda 3 1.5L Deluxe 2020,615000000,2020,Sedan,Đãquasửdụng,Trongnước,35.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 Sport 1.5L Luxury 2019",555000000,2019,Hatchback,Đãquasửdụng,Trongnước,30.000km,
HàNội,Sốtựđộng,Xăng
Toyota Yaris RS 1.5 AT 2011",330000000,2011,Hatchback,Đãquasửdụng,Nhậpkhẩu,110.000km,
HàNội,Sốtựđộng,Xăng
Chenglong H7 2015",1050000000,2015,Truck,Đãquasửdụng,Trongnước,
HàNội,Sốtay,Diesel
Mercedes-Benz C200 2.0 AT 2015,879000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Xăng
Volvo V90 2019,2410000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
Kia Cerato 1.6MT 2018,415000000,2018,Sedan,Đãquasửdụng,Trongnước,83.000km,Tp.HCM,Sốtay,Xăng
Mazda 3 1.5L Sedan 2015",458000000,2015,Sedan,Đãquasửdụng,Trongnước,
HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.5G 4x2MT 2013",565000000,2013,SUV,Đãquasửdụng,Trongnước,110.000km,
