Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
Suzuki Swift 1.4 AT 2014,345000000,2014,Hatchback,Đãquasửdụng,Trongnước,66.000km,HàNội,Sốtựđộng,Xăng
Toyota Land Cruiser Prado TX-L 2014,1380000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz GLC 200 4Matic 2018,1400000000,2018,SUV,Đãquasửdụng,Trongnước,22.000km,HàNội,Sốtựđộng,Xăng
Toyota Hilux 2.4E 4x2 MT 2019,655000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,14.000km,Tp.HCM,Sốtay,Diesel
Toyota Corolla Cross 1.8 V  2022,940000000,2022,SUV,Đãquasửdụng,Nhậpkhẩu,37km,Tp.HCM,Sốtựđộng,Xăng
Hyundai Santa Fe 2.2L (Máy dầu) cao cấp 2022,1510000000,2022,SUV,Đãquasửdụng,Trongnước,8.000km,HàNội,Sốtựđộng,Diesel
Hyundai Elantra 1.6 AT 2020,598000000,2020,Sedan,Đãquasửdụng,Trongnước,23.551km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E250 AMG 2017,1680000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2017,838000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,69.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz GLC 250 4Matic 2020,1790000000,2020,SUV,Đãquasửdụng,Trongnước,28.000km,HàNội,Sốtựđộng,Xăng
Toyota Corolla Altis 1.8G MT 2010,345000000,2010,Sedan,Đãquasửdụng,Trongnước,160.000km,HàNội,Sốtay,Xăng
Porsche Macan GTS 2020,5868000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,27.568km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover Autobiography LWB 5.0 2015,4680000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,53.108km,HàNội,Sốtựđộng,Xăng
Lexus LX 570 2010,2660000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,90.000km,HàNội,Sốtựđộng,Xăng
Toyota Alphard Luxury 2018,3900000000,2018,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,38.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Corolla Altis 2.0 AT 2016,610000000,2016,Sedan,Đãquasửdụng,Trongnước,100.000km,HàNội,Sốtựđộng,Xăng
Honda Accord 2009,368000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,84.000km,Tp.HCM,Sốtựđộng,Xăng
Lexus RX 350 L 2016,2920000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
Lexus ES 250 F Sport 2017,1900000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
BMW X4 xDrive20i M Sport 2021,2850000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,14.000km,HàNội,Sốtựđộng,Xăng
Porsche Cayenne S 2018,5600000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,
Toyota Yaris 1.5G 2017,520000000,2017,Hatchback,Đãquasửdụng,Nhậpkhẩu,79.000km,HàNội,Sốtựđộng,Xăng
Porsche Macan S 2019,4468000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,53.000km,HàNội,Sốtựđộng,
Peugeot 3008 Active 2018,835000000,2018,SUV,Đãquasửdụng,Trongnước,75.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Fortuner 2.7V 4x2 2012,490000000,2012,SUV,Đãquasửdụng,Trongnước,130.000km,HàNội,Sốtựđộng,Xăng
Porsche Panamera 4S Executive 2017,5300000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz GLC 300 4MATIC 2021,2430000000,2021,SUV,Đãquasửdụng,Trongnước,12.000km,HàNội,Sốtựđộng,Xăng
Porsche Panamera 2017,5950000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
Porsche 718 Cayman 2.0 2021,5500000000,2021,Coupe,Đãquasửdụng,Nhậpkhẩu,4.000km,HàNội,Sốtựđộng,Xăng
Porsche Cayenne S 2015,3250000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,57.936km,HàNội,Sốtựđộng,Xăng
Porsche Cayenne S 2019,5600000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
Porsche Cayenne 3.6 V6 2015,2920000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,59.546km,HàNội,Sốtựđộng,Xăng
Toyota Vios 1.5E MT 2021,465000000,2021,Sedan,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtay,Xăng
Porsche Macan S 2021,5388000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,2.247km,HàNội,Sốtựđộng,
Toyota Hilux 2.4E 4×2 AT 2020,765000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,25.000km,HàNội,Sốtựđộng,Diesel
Mercedes-Benz E250 AMG 2018,1820000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,56.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz S400 3.0 V6 2014,2050000000,2014,Sedan,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
Hyundai Santa Fe 2.2L (Máy dầu) tiêu chuẩn 2019,1045000000,2019,SUV,Đãquasửdụng,Trongnước,35.000km,HàNội,Sốtựđộng,Diesel
Mazda CX-5 2.0 Luxury 2020,860000000,2020,SUV,Đãquasửdụng,Trongnước,15.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E200 AMG 2018,1630000000,2018,Sedan,Đãquasửdụng,Trongnước,48.000km,HàNội,Sốtựđộng,
Mercedes-Benz GLK 250 2013,839000000,2013,SUV,Đãquasửdụng,Trongnước,60.000km,Tp.HCM,Sốtựđộng,Xăng
Porsche Cayenne 3.6 V6 2019,5990000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,11.265km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C300 AMG 2017,1298000000,2017,Sedan,Đãquasửdụng,Trongnước,32.994km,HàNội,Sốtựđộng,Xăng
Ford Fiesta Titanium 1.0 AT EcoBoost 2018,415000000,2018,Hatchback,Đãquasửdụng,Trongnước,330.000km,Tp.HCM,Sốtựđộng,Xăng
Kia Carens 2008,290000000,2008,CUV,Đãquasửdụng,Nhậpkhẩu,180.000km,HàNội,Sốtay,Diesel
Lexus ES 250 F Sport 2018,2320000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Mitsubishi Zinger 2009,225000000,2009,MPV,Đãquasửdụng,Trongnước,120.000km,Tp.HCM,Sốtay,Xăng
Mercedes-Benz GLC 250 4Matic 2017,1450000000,2017,SUV,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.4G 4x2 AT  2020,1030000000,2020,SUV,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Diesel
Toyota Vios 1.5 E CVT 2020,510000000,2020,Sedan,Đãquasửdụng,Trongnước,22.000km,HàNội,Sốtựđộng,Xăng
